Date,unrate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over
01-01-1948,3.4,3.4,3.3,9.4,8.3,5.8,3,2,2.2,2.9
01-02-1948,3.8,3.6,4.5,13.1,8.2,6.3,3.3,2.5,2.8,3.1
01-03-1948,4,3.8,4.4,13,8.9,7.6,2.9,2.7,2.6,3
01-04-1948,3.9,3.8,4.3,11.2,8.6,6.8,3.4,2.9,2.6,3
01-05-1948,3.5,3.5,3.7,6.5,7.9,6.6,3,2.6,2.4,3.1
01-06-1948,3.6,3.3,4.3,11.9,7.1,6,3,2.6,2.4,2.8
01-07-1948,3.6,3.4,4.2,10.3,9.3,6.2,2.9,2.5,2.5,2.8
01-08-1948,3.9,3.6,4.4,9,9.7,5.7,3.6,2.8,2.7,3.3
01-09-1948,3.8,3.7,4.1,9.1,8.2,5.5,3.4,2.7,3.2,3.2
01-10-1948,3.7,3.6,4,8.1,8.6,5.2,3.4,2.5,2.6,3.2
01-11-1948,3.8,3.7,3.9,8.5,9.7,5.4,3.5,2.5,2.7,3.7
01-12-1948,4,3.9,4.2,7.4,9.2,6.4,3.3,2.7,3.2,3.9
01-01-1949,4.3,4.2,4.4,9.6,10.5,6.7,3.8,3,3.2,3.5
01-02-1949,4.7,4.6,4.8,12.5,9.5,7.5,4,3.5,3.5,4
01-03-1949,5,5.1,4.6,13.1,11.3,7.8,4.1,3.6,3.5,4.3
01-04-1949,5.3,5.3,5.5,13.8,12.8,8.1,4.9,3.9,3.8,4.4
01-05-1949,6.1,6.1,6,13.6,13.9,9.7,5.5,4.4,4.3,5.3
01-06-1949,6.2,6.2,6.2,14.5,12.9,9.7,6.1,4.4,4.2,5.3
01-07-1949,6.7,6.7,6.8,14.3,14.3,10.6,6.1,4.9,4.7,6.1
01-08-1949,6.8,6.8,6.8,15.8,14.1,11.1,5.9,5.1,4.7,6.2
01-09-1949,6.6,6.5,6.8,13.6,14.6,10.2,5.7,5.2,4.5,6.3
01-10-1949,7.9,8.4,6.8,17.4,14.6,11.2,8.3,5.8,5.8,5.9
01-11-1949,6.4,6.5,6.3,13.9,14.3,9.9,5.8,5.1,4.8,5.5
01-12-1949,6.6,6.5,6.8,16.2,15.1,9.4,6.1,5,4.9,5.5
01-01-1950,6.5,6.4,6.9,17.4,14.2,10.4,6,4.1,5.3,5.3
01-02-1950,6.4,6.2,6.8,15.4,14.7,9.9,5.7,4.4,5.3,5.2
01-03-1950,6.3,6.1,6.7,15.2,13.6,8.9,5.7,4.7,5,5.3
01-04-1950,5.8,5.9,5.4,13.9,11,8.4,5.2,4.3,4.6,5.5
01-05-1950,5.5,5.4,5.8,15.5,12.5,8.1,5.3,4.2,4.1,4.7
01-06-1950,5.4,5.1,6.1,13.6,11,7.7,5,3.7,4.1,5.5
01-07-1950,5,4.8,5.6,12.7,10.3,7.2,4.8,3.6,4.1,4.3
01-08-1950,4.5,4.3,4.8,11.4,9.9,6.4,3.9,3.3,3.5,4
01-09-1950,4.4,4.2,5.1,12.6,9.5,7.4,3.7,3.3,3.4,3.8
01-10-1950,4.2,3.9,4.8,11.6,9.4,4.8,3.5,3,3.5,4.1
01-11-1950,4.2,3.7,5.2,11,8.8,5.7,3.8,3.1,3.3,4
01-12-1950,4.3,3.8,5.2,14.2,8.7,5.1,3.8,3.2,3.1,4.2
01-01-1951,3.7,3.3,4.6,9.8,7.9,4.5,3.2,3,2.8,3.8
01-02-1951,3.4,3,4.5,8.7,7.5,3.9,3.1,2.6,2.6,3.8
01-03-1951,3.4,2.7,4.9,10,7.1,4.3,3.1,2.5,2.6,3.1
01-04-1951,3.1,2.5,4.4,9.4,7.2,4.1,2.6,2.2,2.5,3.1
01-05-1951,3,2.5,4.2,7.6,6.2,3.7,2.7,2.3,2.7,2.9
01-06-1951,3.2,2.8,4.3,9.6,7.5,4.1,2.7,2.4,2.8,3.1
01-07-1951,3.1,2.7,4,10.4,7.2,4.1,2.7,2.3,2.6,2.7
01-08-1951,3.1,2.8,3.9,10.6,6,3.5,2.9,2.5,2.8,2.4
01-09-1951,3.3,2.8,4.6,8.7,7.7,4.2,3.2,2.5,3.2,2.7
01-10-1951,3.5,3.1,4.5,8.3,7.2,4.4,3.3,2.6,2.8,3.6
01-11-1951,3.5,3.1,4.5,12.7,7.5,4.7,3.1,2.8,2.6,3.3
01-12-1951,3.1,2.7,4.2,9.1,6.4,3.8,3,2.4,2.6,2.8
01-01-1952,3.2,2.8,3.9,10.5,8.7,4.2,2.9,2.3,2.4,2.5
01-02-1952,3.1,2.8,3.8,10.5,6.6,4.4,2.8,2.6,2.3,2.6
01-03-1952,2.9,2.7,3.5,9.5,7.1,4.4,2.2,2.1,2.5,2.6
01-04-1952,2.9,2.7,3.5,9.2,6.8,4.5,2.6,2.2,2.1,2.6
01-05-1952,3,2.6,3.9,11.5,6.9,4.4,2.5,2.1,2.3,2.7
01-06-1952,3,2.8,3.5,9.6,7.2,4.3,2.4,2.3,2.7,2.5
01-07-1952,3.2,3,3.7,9.7,7.7,4.7,2.8,2.5,2.4,2.8
01-08-1952,3.4,3.2,3.8,9.4,7.5,5,2.9,2.8,2.5,3
01-09-1952,3.1,3,3.3,9.7,8,5.9,2.9,1.9,2.2,2.7
01-10-1952,3,2.6,3.8,10.2,6.9,4.8,2.6,2.3,2.1,2.3
01-11-1952,2.8,2.5,3.4,10.4,6.6,4.1,2.6,2.2,2.1,2.1
01-12-1952,2.7,2.5,3.1,9.6,6.1,4.7,2.2,1.8,1.9,2.3
01-01-1953,2.9,2.8,3.1,9.2,5.5,4,2.8,2.1,2.3,2.5
01-02-1953,2.6,2.4,2.9,7.6,6.1,3.6,2.3,1.7,2.1,2.6
01-03-1953,2.6,2.3,3.2,8.1,5.7,4.2,1.9,2.1,2,2.5
01-04-1953,2.7,2.6,3,8.1,6.7,4.6,2.3,2.1,2,2.4
01-05-1953,2.5,2.5,2.7,7.5,5.6,3.8,2.5,1.9,2.3,2
01-06-1953,2.5,2.4,2.8,7.4,6.7,4.2,2.2,1.9,2.1,2
01-07-1953,2.6,2.5,2.9,8,6.6,3.7,2.1,2,1.9,2.7
01-08-1953,2.7,2.5,3,8.2,6.5,5.2,2.2,2,1.6,2.3
01-09-1953,2.9,2.7,3.4,8.5,6.3,5.1,2.4,2.1,2.6,2.8
01-10-1953,3.1,2.9,3.6,12.7,7.8,4.3,2.9,2.5,2.5,2.4
01-11-1953,3.5,3.4,3.7,9.7,7.9,6,3.4,2.5,2.8,3.1
01-12-1953,4.5,4.2,5.1,11.9,11.6,8.3,4,3.3,3.4,3.5
01-01-1954,4.9,4.4,5.9,11.7,8.9,8.7,4.3,3.7,3.8,3.6
01-02-1954,5.2,4.9,5.9,15.7,10.9,9.2,4.8,4.1,4,3.8
01-03-1954,5.7,5.3,6.4,14.5,10.5,9.2,5.4,4.3,4.5,4.6
01-04-1954,5.9,5.6,6.4,14.3,11,9.8,5.5,4.4,4.8,4.7
01-05-1954,5.9,5.7,6.3,12.8,13.1,9.4,5.9,4.9,4.7,4.7
01-06-1954,5.6,5.3,6.2,11.5,9.4,8.8,5.5,4.9,4.8,4.6
01-07-1954,5.8,5.6,6.3,13,11.8,9.1,5.5,4.7,4.6,4.6
01-08-1954,6,6,6.2,14.9,12.5,9.1,6,4.9,4.5,4.6
01-09-1954,6.1,6,6.4,15.9,11,10.7,5.8,5.7,4.4,4.5
01-10-1954,5.7,5.7,5.8,13.7,9.2,9,6.1,4.6,4.5,4.7
01-11-1954,5.3,5.2,5.6,11.6,10.4,9.6,5,4.1,4.2,4.7
01-12-1954,5,5,5.2,14,10.8,8.2,4.3,4.1,3.9,4.4
01-01-1955,4.9,4.8,5.3,12.3,11.1,8.1,4.1,4,3.7,4.6
01-02-1955,4.7,4.5,5,11.4,10.8,7.5,4.2,3.9,3.4,4.2
01-03-1955,4.6,4.5,4.8,10.9,11,7,4.4,3.8,3.3,3.9
01-04-1955,4.7,4.7,4.7,10.9,10.6,7.2,4.8,3.6,3.9,3.9
01-05-1955,4.3,4,4.7,11.4,10.5,7.2,3.4,3.6,3.1,4
01-06-1955,4.2,3.9,4.7,12.9,9.3,7.3,3.3,3.1,3.3,4.1
01-07-1955,4,3.8,4.6,13,8,7.1,3.2,2.9,3.2,3.7
01-08-1955,4.2,3.9,4.9,14.5,8.9,6.6,3.4,2.9,3.3,4.1
01-09-1955,4.1,3.7,5,11.9,10.6,7.4,3.7,2.9,2.7,3.8
01-10-1955,4.3,3.9,5.1,12,10.5,6.4,3.7,3,3.5,4.5
01-11-1955,4.2,3.9,4.9,12,11.5,5.9,3.5,3.2,3.4,3.7
01-12-1955,4.2,3.8,4.9,13.2,9.3,6.1,3.6,3,3.4,3.8
01-01-1956,4,3.8,4.5,11.8,9.7,6.3,3.7,3,2.8,3.4
01-02-1956,3.9,3.8,4.3,12.5,10.6,5.6,3.3,2.8,3.6,3.4
01-03-1956,4.2,3.8,5.1,11.3,11.7,6.7,3.7,2.9,3.7,3.2
01-04-1956,4,3.6,4.8,11.7,10.2,6.6,3.4,2.9,3.1,3.6
01-05-1956,4.3,3.9,5,14,10.1,6.9,3.7,3,3.2,3.7
01-06-1956,4.3,4,5.1,15.2,9.9,7,4.1,3.2,2.7,3.7
01-07-1956,4.4,3.8,5.7,11.1,11.2,7.2,4.2,3.3,3.2,3.5
01-08-1956,4.1,3.7,4.8,10.5,9.8,6.7,3.7,3.3,3,3.1
01-09-1956,3.9,3.6,4.6,11.2,8.6,6.3,3.8,3,3,3.2
01-10-1956,3.9,3.5,4.7,11.7,8.9,6.8,3.5,2.8,3,3.2
01-11-1956,4.3,4,4.9,13.5,11.4,6.5,3.8,3.1,3.4,3.5
01-12-1956,4.2,3.9,4.7,9.3,9.9,7.3,3.7,3.3,3.4,3.5
01-01-1957,4.2,3.9,4.8,12.7,10.6,6.8,3.6,3.1,3.4,3.2
01-02-1957,3.9,3.6,4.5,11.5,10.1,6.9,3.4,2.8,3.1,3.3
01-03-1957,3.7,3.5,4.3,12.9,10.3,5.6,3.2,2.7,2.9,3.2
01-04-1957,3.9,3.8,4.2,11.3,10.8,6.6,3.7,2.9,2.7,3.1
01-05-1957,4.1,3.8,4.7,10.9,11.6,6.7,3.7,2.7,2.9,3.5
01-06-1957,4.3,4,4.8,12.5,11.6,7.3,3.9,3.2,3.1,3.3
01-07-1957,4.2,3.8,4.8,12.7,10.8,6.3,4,2.9,3,3.3
01-08-1957,4.1,3.9,4.7,12.7,10.5,7.2,3.8,2.8,3.1,3.2
01-09-1957,4.4,4.3,4.6,12.1,10.3,7.2,4,3.4,3.4,3.5
01-10-1957,4.5,4.4,4.6,11.9,10.2,7.4,4.1,3.7,3.6,3.6
01-11-1957,5.1,5.2,5.1,14.7,11.9,9.1,4.6,3.8,4,3.8
01-12-1957,5.2,5.2,5.1,13.7,12.4,8.5,5,4,4,3.9
01-01-1958,5.8,5.7,5.9,13.2,14.7,9.9,5.7,4.5,4.2,4.1
01-02-1958,6.4,6.3,6.6,15.3,14.4,10.8,6.3,5.6,4.8,4.6
01-03-1958,6.7,6.7,6.6,15.2,14.6,11.3,6.8,5.5,5,4.9
01-04-1958,7.4,7.3,7.6,18.6,15.8,12.7,7.6,5.9,5.7,5.2
01-05-1958,7.4,7.5,7.3,17.3,15.2,12.1,7.6,6,5.7,5.1
01-06-1958,7.3,7.4,7.1,16.3,15.2,11.8,7.7,5.9,6,5.2
01-07-1958,7.5,7.6,7.3,18.1,17.6,12.3,7.5,5.9,5.8,5.3
01-08-1958,7.4,7.5,7.2,15.6,16.3,11.8,7.3,5.9,6,5.8
01-09-1958,7.1,7.1,7,17.8,17.8,11.2,6.6,5.6,5.3,5.6
01-10-1958,6.7,6.7,6.7,17.1,15.2,11,6.4,5.2,5.1,5.6
01-11-1958,6.2,6.3,6,15.6,15.4,9.4,6,4.7,4.3,5.2
01-12-1958,6.2,6.2,6.2,16.2,13.9,10.1,6,5,4.4,5.3
01-01-1959,6,5.9,6.2,13.7,13.6,9.8,5.7,4.6,4.4,4.8
01-02-1959,5.9,5.8,6,13.4,12.7,9.9,5.7,4.7,4.4,4.8
01-03-1959,5.6,5.3,6.2,15.3,12.9,9.3,5.3,4.2,4.2,4.5
01-04-1959,5.2,4.8,6.1,16.4,13.8,7.8,4.6,3.9,4,4.3
01-05-1959,5.1,4.8,5.8,14.9,13.5,7,4.7,3.8,3.7,4.4
01-06-1959,5,4.7,5.6,14.5,13.8,8.1,4.4,3.8,3.9,3.9
01-07-1959,5.1,4.9,5.7,15.4,13.6,7.7,4.4,3.9,4,4.3
01-08-1959,5.2,5.1,5.6,16.9,15.4,7.7,4.5,4.1,4.1,3.8
01-09-1959,5.5,5.5,5.6,15.5,14.3,8.7,5.1,4.2,4.1,4.2
01-10-1959,5.7,5.5,6.1,16.2,15.4,8.4,5.2,4.1,4.6,4.5
01-11-1959,5.8,5.9,5.8,15.2,14.6,8.6,5.2,4.9,4.4,4.4
01-12-1959,5.3,5,5.8,15.5,15.3,8.1,5,3.8,3.9,4.3
01-01-1960,5.2,5,5.7,16.3,13.3,8.2,4.6,3.8,3.9,4.2
01-02-1960,4.8,4.6,5.4,13.7,12.9,8.1,4.3,3.5,3.5,3.9
01-03-1960,5.4,5.3,5.8,15.7,15.7,8.5,4.8,3.9,4.1,4.2
01-04-1960,5.2,5,5.5,15.2,13.4,8.5,5,3.7,3.7,4
01-05-1960,5.1,5,5.5,15.9,12,8.4,4.4,4,3.8,3.7
01-06-1960,5.4,5.2,5.7,16.1,13.6,8.3,5.1,4,3.8,4.1
01-07-1960,5.5,5.3,5.8,13.5,14.2,8.6,5.5,4.1,4,4
